Jahr,Teilnehmer
1957,10
1958,10
1959,11
1960,13
1961,16
1962,16
1963,16
1964,16
1965,18
1966,18
1967,17
1968,17
1969,16
1970,12
1971,18
1972,18
1973,17
1974,17
1975,19
1976,18
1977,18
1978,20
1979,19
1980,19
1981,20
1982,18
1983,20
1984,19
1985,19
1986,20
1987,22
1988,21
1989,22
1990,22
1991,22
1992,23
1993,25
1994,25
1995,23
1996,23
1997,25
1998,25
1999,23
2000,24
2001,23
2002,24
2003,26
2004,24
2005,24
2006,24
2007,24
2008,25
2009,25
2010,25
2011,25
2012,26
2013,26
2014,26
2015,27
2016,26
2017,26
2018,26
2019,26
2020,0
2021,26
2022,25
2023,26
2024,26
2025,26
2026,25
