Land,Jahr,Platzierung,Punkte,Genre,Startposition,Sprache,Heimvorteil
Netherlands,1956,2,,Pop,1,Dutch,0
Switzerland,1956,2,,Schlager,2,Mixed,1
Belgium,1956,2,,Rock,3,Mixed,0
Germany,1956,2,,Schlager,4,German,0
France,1956,2,,Schlager,5,French,0
Italy,1956,2,,Pop,7,Italian,0
Netherlands,1956,2,,Schlager,8,Dutch,0
Belgium,1956,2,,Schlager,10,Mixed,0
Germany,1956,2,,Pop,11,German,0
France,1956,2,,Schlager,12,French,0
Luxembourg,1956,2,,Schlager,13,French,0
Italy,1956,2,,Rock,14,Italian,0
Belgium,1957,8,5.0,Pop,1,Mixed,0
Luxembourg,1957,4,8.0,Schlager,2,French,0
United Kingdom,1957,7,6.0,Ballad,3,English,0
Italy,1957,6,7.0,Schlager,4,Italian,0
Austria,1957,10,3.0,Schlager,5,German,0
Netherlands,1957,1,31.0,Schlager,6,Dutch,0
Germany,1957,4,8.0,Schlager,7,German,1
France,1957,2,17.0,Schlager,8,French,0
Denmark,1957,3,10.0,Schlager,9,Danish,0
Switzerland,1957,8,5.0,Schlager,10,Mixed,0
Italy,1958,3,13.0,Pop,1,Italian,0
Netherlands,1958,9,1.0,Schlager,2,Dutch,1
France,1958,1,27.0,Schlager,3,French,0
Luxembourg,1958,9,1.0,Schlager,4,French,0
Sweden,1958,4,10.0,Pop,5,Swedish,0
Denmark,1958,8,3.0,Ballad,6,Danish,0
Belgium,1958,5,8.0,Schlager,7,Mixed,0
Germany,1958,7,5.0,Schlager,8,German,0
Austria,1958,5,8.0,Schlager,9,German,0
Switzerland,1958,2,24.0,Pop,10,Mixed,0
France,1959,3,15.0,Schlager,1,French,1
Denmark,1959,5,12.0,Schlager,2,Danish,0
Italy,1959,6,9.0,Schlager,3,Italian,0
Monaco,1959,11,1.0,Schlager,4,French,0
Netherlands,1959,1,21.0,Pop,5,Dutch,0
Germany,1959,8,5.0,Rock,6,German,0
Sweden,1959,9,4.0,Schlager,7,Swedish,0
Switzerland,1959,4,14.0,Schlager,8,Mixed,0
Austria,1959,9,4.0,Schlager,9,German,0
United Kingdom,1959,2,16.0,Ballad,10,English,0
Belgium,1959,6,9.0,Schlager,11,Mixed,0
United Kingdom,1960,2,25.0,Ballad,1,English,1
Sweden,1960,10,4.0,Schlager,2,Swedish,0
Luxembourg,1960,13,1.0,Schlager,3,French,0
Denmark,1960,10,4.0,Schlager,4,Danish,0
Belgium,1960,6,9.0,Schlager,5,Mixed,0
Norway,1960,4,11.0,Rock,6,Norwegian,0
Austria,1960,7,6.0,Schlager,7,German,0
Monaco,1960,3,15.0,Schlager,8,French,0
Switzerland,1960,8,5.0,Schlager,9,Mixed,0
Netherlands,1960,12,2.0,Pop,10,Dutch,0
Germany,1960,4,11.0,Schlager,11,German,0
Italy,1960,8,5.0,Schlager,12,Italian,0
France,1960,1,32.0,Schlager,13,French,0
Spain,1961,9,8.0,Schlager,1,Spanish,0
Monaco,1961,10,6.0,Schlager,2,French,0
Austria,1961,15,1.0,Schlager,3,German,0
Finland,1961,10,6.0,Schlager,4,Finnish,0
Yugoslavia,1961,8,9.0,Schlager,5,Serbo-Croatian,0
Netherlands,1961,10,6.0,Schlager,6,Dutch,0
Sweden,1961,14,2.0,Pop,7,Swedish,0
Germany,1961,13,3.0,Schlager,8,German,0
France,1961,4,13.0,Pop,9,French,1
Switzerland,1961,3,16.0,Pop,10,Mixed,0
Belgium,1961,15,1.0,Schlager,11,Mixed,0
Norway,1961,7,10.0,Rock,12,Norwegian,0
Denmark,1961,5,12.0,Pop,13,Danish,0
Luxembourg,1961,1,31.0,Schlager,14,French,0
United Kingdom,1961,2,24.0,Rock,15,English,0
Italy,1961,5,12.0,Schlager,16,Italian,0
Finland,1962,7,4.0,Pop,1,Finnish,0
Belgium,1962,13,0.0,Schlager,2,Mixed,0
Spain,1962,13,0.0,Rock,3,Spanish,0
Austria,1962,13,0.0,Schlager,4,German,0
Denmark,1962,10,2.0,Pop,5,Danish,0
Sweden,1962,7,4.0,Rock,6,Swedish,0
Germany,1962,6,9.0,Schlager,7,German,0
Netherlands,1962,13,0.0,Pop,8,Dutch,0
France,1962,1,26.0,Schlager,9,French,0
Norway,1962,10,2.0,Schlager,10,Norwegian,0
Switzerland,1962,10,2.0,Schlager,11,Mixed,0
Yugoslavia,1962,4,10.0,Pop,12,Serbo-Croatian,0
